TH;CODMUN;AMBITO;DISTRITO;SECCION;MESA;CENSO;VOTANTES;NULOS;VALIDOS;BLANCOS;VOTOS_CANDIDATOS;ABSTENCIONES;EAJ-PNV;PP;HB;U.AL.;EA;EB;PSE-EE/PSOE;CNPS
ARABA-?LAVA;1;ALEGR?A-DULANTZI;1;1;U;793;516;4;512;14;498;277;195;56;26;52;62;21;86;0
ARABA-?LAVA;2;AMURRIO;1;1;A;336;216;4;212;6;206;120;78;26;41;11;40;5;5;0
ARABA-?LAVA;2;AMURRIO;1;1;B;1254;864;7;857;14;843;390;230;155;114;45;162;61;73;3
ARABA-?LAVA;2;AMURRIO;1;2;A;245;164;1;163;2;161;81;72;12;36;10;26;5;0;0
ARABA-?LAVA;2;AMURRIO;1;2;B;533;345;0;345;10;335;188;91;29;51;19;77;14;53;1
ARABA-?LAVA;2;AMURRIO;1;2;C;530;339;1;338;5;333;191;123;37;37;27;47;20;42;0
ARABA-?LAVA;2;AMURRIO;1;2;D;212;128;0;128;1;127;84;39;22;37;2;25;1;1;0
ARABA-?LAVA;2;AMURRIO;1;3;U;777;547;6;541;6;535;230;171;76;61;24;105;30;68;0
ARABA-?LAVA;2;AMURRIO;1;4;U;1099;707;5;702;11;691;392;220;73;91;28;130;32;115;2
ARABA-?LAVA;2;AMURRIO;1;5;U;1038;655;11;644;13;631;383;163;62;76;35;125;44;124;2
ARABA-?LAVA;2;AMURRIO;1;6;U;765;486;9;477;7;470;279;142;39;84;20;91;20;72;2
ARABA-?LAVA;2;AMURRIO;1;7;U;917;620;15;605;8;597;297;167;52;77;32;112;34;123;0
ARABA-?LAVA;3;ARAMAIO;1;1;A;735;530;5;525;10;515;205;141;8;149;3;199;3;12;0
ARABA-?LAVA;3;ARAMAIO;1;1;B;368;264;3;261;1;260;104;87;3;64;5;92;2;7;0
ARABA-?LAVA;4;ARTZINIEGA;1;1;U;1030;756;9;747;16;731;274;280;159;111;30;59;36;54;2
ARABA-?LAVA;6;ARMI??N;1;1;U;116;82;0;82;4;78;34;20;32;1;19;0;3;3;0
ARABA-?LAVA;8;ARRAZUA-UBARRUNDIA;1;1;U;573;339;3;336;4;332;234;130;38;31;60;16;13;44;0
ARABA-?LAVA;9;ASPARRENA;1;1;A;573;344;2;342;8;334;229;108;25;67;32;57;9;36;0
ARABA-?LAVA;9;ASPARRENA;1;1;B;705;440;5;435;6;429;265;141;36;93;41;52;13;51;2
ARABA-?LAVA;10;AYALA / AIARA;1;1;A;812;574;4;570;5;565;238;253;129;54;27;59;29;11;3
ARABA-?LAVA;10;AYALA / AIARA;1;1;B;433;273;5;268;4;264;160;82;48;40;13;48;14;19;0
ARABA-?LAVA;10;AYALA / AIARA;1;1;C;490;368;7;361;1;360;122;205;58;30;11;38;5;13;0
ARABA-?LAVA;11;BA?OS DE EBRO / MA?UETA;1;1;U;294;210;3;207;7;200;84;98;42;4;34;2;2;18;0
ARABA-?LAVA;13;BARRUNDIA;1;1;U;489;254;1;253;1;252;235;104;24;31;44;27;12;9;1
ARABA-?LAVA;14;BERANTEVILLA;1;1;U;344;234;1;233;6;227;110;93;35;10;56;5;17;11;0
ARABA-?LAVA;16;BERNEDO;1;1;U;500;252;0;252;2;250;248;107;62;19;40;4;8;10;0
ARABA-?LAVA;17;CAMPEZO / KANPEZU;1;1;U;972;632;3;629;13;616;340;258;122;46;71;39;14;65;1
ARABA-?LAVA;18;ZIGOITIA;1;1;U;778;456;6;450;4;446;322;126;44;101;62;56;36;21;0
ARABA-?LAVA;19;KRIPAN;1;1;U;174;116;0;116;0;116;58;87;15;3;0;4;4;3;0
ARABA-?LAVA;20;KUARTANGO;1;1;U;322;189;1;188;1;187;133;86;14;48;23;2;7;7;0
ARABA-?LAVA;21;ELBURGO / BURGELU;1;1;U;178;101;0;101;0;101;77;36;14;7;28;5;6;5;0
ARABA-?LAVA;22;ELCIEGO;1;1;U;782;568;7;561;6;555;214;92;136;13;62;48;37;166;1
ARABA-?LAVA;23;ELVILLAR / BILAR;1;1;U;307;207;0;207;3;204;100;106;20;10;48;2;5;13;0
ARABA-?LAVA;27;IRURAIZ-GAUNA;1;1;U;353;191;2;189;3;186;162;52;42;26;45;9;11;1;0
ARABA-?LAVA;28;LABASTIDA / BASTIDA;1;1;U;811;541;0;541;4;537;270;107;116;102;82;10;41;78;1
ARABA-?LAVA;30;LAGR?N;1;1;U;177;123;1;122;1;121;54;61;18;0;23;3;6;10;0
ARABA-?LAVA;31;LAGUARDIA;1;1;A;534;371;1;370;2;368;163;117;125;15;30;26;15;40;0
ARABA-?LAVA;31;LAGUARDIA;1;1;B;636;438;8;430;3;427;198;139;153;17;39;21;7;49;2
ARABA-?LAVA;32;LANCIEGO / LANTZIEGO;1;1;U;535;360;2;358;1;357;175;159;62;16;46;0;4;70;0
ARABA-?LAVA;33;LAPUEBLA DE LABARCA;1;1;U;674;541;3;538;3;535;133;305;107;8;31;24;16;42;2
ARABA-?LAVA;34;LEZA;1;1;U;174;109;1;108;1;107;65;31;15;8;6;25;2;20;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;1;A;809;524;7;517;10;507;285;174;102;58;24;76;17;55;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;1;B;947;626;4;622;5;617;321;178;114;88;33;82;43;78;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;2;A;799;485;5;480;7;473;314;120;59;81;38;28;59;87;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;2;B;882;542;5;537;7;530;340;148;80;79;29;28;47;119;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;3;A;568;347;2;345;6;339;221;66;26;90;22;21;30;84;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;3;B;560;324;3;321;8;313;236;67;26;64;18;15;24;99;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;4;U;858;566;6;560;10;550;292;180;74;116;16;36;36;92;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;5;A;804;499;3;496;7;489;305;137;42;150;10;41;43;64;2
ARABA-?LAVA;36;LAUDIO / LLODIO;1;5;B;851;514;0;514;5;509;337;132;49;140;22;41;32;90;3
ARABA-?LAVA;36;LAUDIO / LLODIO;1;6;A;803;505;6;499;8;491;298;164;74;96;24;42;17;72;2
ARABA-?LAVA;36;LAUDIO / LLODIO;1;6;B;808;530;8;522;2;520;278;171;97;77;22;51;31;71;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;7;A;696;450;7;443;7;436;246;108;63;79;28;45;30;82;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;7;B;619;358;5;353;8;345;261;82;57;60;16;24;33;72;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;8;A;570;353;7;346;5;341;217;74;52;64;23;19;33;75;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;8;B;645;368;1;367;7;360;277;76;50;80;24;19;40;71;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;9;A;869;541;4;537;13;524;328;153;78;111;22;47;39;72;2
ARABA-?LAVA;36;LAUDIO / LLODIO;1;9;B;896;575;8;567;7;560;321;158;73;144;26;35;40;84;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;10;A;601;372;0;372;8;364;229;115;41;81;23;27;35;42;0
ARABA-?LAVA;36;LAUDIO / LLODIO;1;10;B;634;384;1;383;8;375;250;119;46;66;16;34;33;60;1
ARABA-?LAVA;36;LAUDIO / LLODIO;1;11;U;804;500;9;491;7;484;304;191;45;84;14;54;31;63;2
ARABA-?LAVA;36;LAUDIO / LLODIO;1;12;U;824;527;5;522;11;511;297;124;89;68;36;23;41;128;2
ARABA-?LAVA;36;LAUDIO / LLODIO;1;13;U;903;535;2;533;7;526;368;136;55;117;19;55;27;116;1
ARABA-?LAVA;37;ARRAIA-MAEZTU;1;1;U;634;380;3;377;3;374;254;168;42;25;59;19;17;42;2
ARABA-?LAVA;39;MOREDA DE ?LAVA;1;1;U;246;181;0;181;0;181;65;81;37;2;9;2;4;46;0
ARABA-?LAVA;41;NAVARIDAS;1;1;U;186;134;5;129;0;129;52;46;56;1;7;7;4;7;1
ARABA-?LAVA;42;OKONDO;1;1;U;629;545;4;541;4;537;84;205;45;80;9;183;3;12;0
ARABA-?LAVA;43;OY?N-OION;1;1;U;964;555;2;553;3;550;409;123;173;58;62;13;37;84;0
ARABA-?LAVA;43;OY?N-OION;1;2;U;909;544;2;542;1;541;365;120;145;51;57;29;49;90;0
ARABA-?LAVA;44;PE?ACERRADA-URIZAHARRA;1;1;U;222;161;1;160;0;160;61;87;20;13;24;0;3;12;1
ARABA-?LAVA;46;RIBERA ALTA;1;1;U;477;327;0;327;3;324;150;111;58;21;81;10;16;27;0
ARABA-?LAVA;47;RIBERA BAJA / ERRIBERA BEITIA;1;1;U;352;236;0;236;2;234;116;88;57;11;30;2;17;29;0
ARABA-?LAVA;49;A?ANA;1;1;U;183;151;0;151;1;150;32;70;24;12;17;11;2;14;0
ARABA-?LAVA;51;SALVATIERRA / AGURAIN;1;1;U;641;401;3;398;3;395;240;125;35;82;61;48;17;26;1
ARABA-?LAVA;51;SALVATIERRA / AGURAIN;1;2;U;659;373;1;372;2;370;286;134;28;45;53;45;11;52;2
ARABA-?LAVA;51;SALVATIERRA / AGURAIN;1;3;A;809;458;0;458;5;453;351;94;26;68;46;50;36;131;2
ARABA-?LAVA;51;SALVATIERRA / AGURAIN;1;3;B;869;499;1;498;4;494;370;124;34;81;59;45;49;102;0
ARABA-?LAVA;52;SAMANIEGO;1;1;U;236;155;3;152;3;149;81;66;14;16;5;2;10;36;0
ARABA-?LAVA;53;SAN MILL?N / DONEMILIAGA;1;1;U;591;282;4;278;1;277;309;120;39;36;48;14;9;9;2
ARABA-?LAVA;54;URKABUSTAIZ;1;1;U;716;460;11;449;4;445;256;143;67;112;39;26;34;24;0
ARABA-?LAVA;55;VALDEGOV?A / GAUBEA;1;1;A;475;320;2;318;5;313;155;123;37;25;87;6;9;26;0
ARABA-?LAVA;55;VALDEGOV?A / GAUBEA;1;1;B;320;222;3;219;2;217;98;110;28;16;40;6;6;11;0
ARABA-?LAVA;56;HARANA / VALLE DE ARANA;1;1;U;350;211;1;210;2;208;139;104;36;13;47;3;3;2;0
ARABA-?LAVA;57;VILLABUENA DE ?LAVA / ESKUERNAGA;1;1;U;295;243;0;243;0;243;52;114;37;42;27;13;6;4;0
ARABA-?LAVA;58;LEGUTIANO;1;1;A;504;304;0;304;3;301;200;112;20;54;14;75;12;14;0
ARABA-?LAVA;58;LEGUTIANO;1;1;B;544;317;2;315;5;310;227;105;9;66;18;54;22;36;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;1;U;528;267;4;263;4;259;261;43;45;47;47;17;31;29;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;2;U;606;312;4;308;6;302;294;44;52;42;65;18;37;43;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;3;U;714;321;3;318;4;314;393;37;40;60;49;20;38;70;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;4;U;592;303;3;300;2;298;289;53;26;57;45;25;35;55;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;5;U;774;467;1;466;3;463;307;53;76;112;81;23;51;64;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;6;U;584;253;0;253;1;252;331;22;33;44;50;14;36;53;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;7;U;844;471;2;469;8;461;373;57;70;67;105;41;39;81;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;8;A;607;347;2;345;11;334;260;66;57;37;64;32;30;46;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;8;B;677;374;6;368;5;363;303;58;51;53;81;26;26;66;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;9;U;855;465;0;465;5;460;390;86;75;76;65;49;31;77;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;10;U;565;296;6;290;2;288;269;39;35;61;40;28;40;44;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;1;11;U;642;322;11;311;4;307;320;45;40;47;72;24;23;56;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;1;A;501;339;4;335;1;334;162;58;107;16;82;33;17;21;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;1;B;542;374;1;373;9;364;168;81;123;17;71;24;15;33;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;2;U;845;598;5;593;13;580;247;111;211;20;138;48;19;33;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;3;A;578;388;2;386;3;383;190;80;129;31;56;35;23;29;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;3;B;639;420;4;416;2;414;219;79;126;33;89;36;22;29;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;4;U;942;580;3;577;4;573;362;89;185;34;139;47;37;42;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;5;U;685;417;1;416;8;408;268;88;131;25;97;26;12;29;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;6;A;793;539;1;538;5;533;254;132;154;17;110;57;17;46;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;6;B;845;604;1;603;9;594;241;111;200;28;126;38;29;62;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;7;A;668;431;3;428;7;421;237;85;129;30;74;29;36;37;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;2;7;B;629;416;1;415;7;408;213;66;113;23;85;41;32;48;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;1;U;774;530;0;530;11;519;244;119;160;40;112;31;26;31;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;2;U;1127;751;3;748;18;730;376;188;124;57;182;56;49;73;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;3;A;625;417;0;417;1;416;208;88;120;25;97;30;18;38;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;3;B;587;386;2;384;4;380;201;86;124;17;57;22;23;51;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;4;A;530;340;0;340;5;335;190;66;87;21;76;27;23;35;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;4;B;634;395;1;394;9;385;239;82;84;28;101;22;24;44;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;4;C;610;412;1;411;10;401;198;92;89;25;84;26;35;50;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;5;U;976;625;0;625;10;615;351;132;143;56;122;49;46;64;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;6;U;806;489;0;489;8;481;317;85;105;44;117;32;30;68;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;7;U;765;523;6;517;16;501;242;102;109;35;116;52;35;52;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;8;A;502;320;5;315;3;312;182;69;52;21;71;33;23;43;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;8;B;519;315;0;315;4;311;204;65;63;16;73;36;22;36;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;9;A;591;359;1;358;6;352;232;63;76;28;89;27;25;44;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;9;B;671;386;1;385;2;383;285;78;83;23;80;14;51;53;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;10;A;632;362;1;361;3;358;270;80;91;24;65;25;27;45;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;10;B;670;445;3;442;6;436;225;77;86;43;101;27;40;62;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;11;A;504;317;1;316;5;311;187;65;101;22;68;14;16;25;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;11;B;560;340;1;339;3;336;220;75;78;14;93;27;22;27;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;12;U;852;502;1;501;6;495;350;127;89;49;98;41;38;52;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;13;U;993;610;4;606;10;596;383;115;125;57;173;30;39;57;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;14;A;571;318;1;317;7;310;253;51;52;45;70;15;32;43;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;14;B;524;284;2;282;7;275;240;47;56;51;45;12;30;34;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;15;A;466;256;1;255;4;251;210;47;31;27;55;9;34;47;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;15;B;536;301;3;298;0;298;235;58;28;41;76;15;40;38;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;16;U;802;498;0;498;6;492;304;97;78;41;99;25;48;102;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;17;A;672;376;2;374;3;371;296;69;69;36;78;23;31;64;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;17;B;821;479;3;476;3;473;342;77;78;51;104;31;34;97;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;18;A;702;421;1;420;12;408;281;73;58;38;123;18;30;68;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;18;B;716;416;4;412;3;409;300;65;50;55;96;20;36;85;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;19;A;609;392;1;391;5;386;217;82;47;48;79;13;45;70;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;19;B;607;369;1;368;6;362;238;61;49;34;85;18;39;75;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;20;A;775;468;3;465;8;457;307;81;72;32;126;21;34;90;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;20;B;823;494;3;491;7;484;329;82;103;28;110;22;48;91;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;21;U;922;552;3;549;8;541;370;91;106;49;125;24;42;103;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;22;A;569;308;9;299;6;293;261;49;45;25;71;17;35;48;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;22;B;606;322;4;318;11;307;284;49;61;23;67;16;40;51;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;23;A;574;330;1;329;4;325;244;54;54;26;86;17;34;52;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;23;B;599;353;2;351;2;349;246;45;54;24;86;23;42;75;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;24;A;749;451;3;448;12;436;298;92;80;26;105;27;49;56;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;24;B;737;439;0;439;3;436;298;86;72;29;112;23;52;61;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;25;A;676;441;1;440;8;432;235;86;98;19;109;35;40;45;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;25;B;701;459;0;459;10;449;242;98;83;12;117;48;41;50;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;26;A;810;557;5;552;11;541;253;76;128;32;159;24;53;68;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;26;B;761;500;3;497;10;487;261;84;93;29;127;41;50;63;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;27;A;636;368;1;367;10;357;268;59;74;22;75;13;31;82;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;27;B;725;410;2;408;4;404;315;55;65;23;105;20;45;91;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;28;A;607;326;1;325;25;300;281;36;48;23;69;6;44;71;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;28;B;632;305;4;301;3;298;327;45;31;17;83;7;42;71;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;29;U;948;565;3;562;13;549;383;84;69;34;161;27;54;117;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;30;A;808;588;1;587;11;576;220;144;135;25;146;44;43;39;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;30;B;909;633;3;630;16;614;276;122;148;32;168;41;50;53;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;31;A;655;425;1;424;12;412;230;88;99;31;96;39;19;38;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;31;B;671;417;2;415;8;407;254;69;108;43;91;29;30;37;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;32;A;770;498;4;494;6;488;272;116;85;40;116;29;35;65;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;32;B;819;543;9;534;5;529;276;83;95;39;145;29;61;74;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;33;A;626;411;0;411;8;403;215;75;107;13;102;32;37;37;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;33;B;607;427;4;423;9;414;180;62;105;31;102;30;33;50;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;33;C;559;371;1;370;9;361;188;68;87;22;86;33;25;40;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;34;U;989;583;2;581;6;575;406;68;80;38;148;18;72;150;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;35;A;590;391;3;388;5;383;199;41;59;40;104;12;58;68;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;35;B;658;411;7;404;10;394;247;79;42;39;101;21;42;69;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;36;U;751;411;4;407;4;403;340;71;73;26;103;19;33;78;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;37;A;590;382;0;382;8;374;208;68;60;28;106;23;34;55;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;37;B;594;417;5;412;10;402;177;75;62;34;106;28;28;67;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;38;A;655;382;2;380;11;369;273;70;63;18;81;11;38;88;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;38;B;618;383;5;378;6;372;235;57;38;26;82;24;56;89;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;39;A;602;374;2;372;10;362;228;51;68;27;86;24;37;68;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;39;B;589;369;2;367;6;361;220;55;48;20;87;20;34;96;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;40;A;649;461;1;460;13;447;188;72;92;31;128;30;40;54;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;40;B;649;463;3;460;7;453;186;69;72;27;136;31;44;73;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;41;A;739;470;1;469;17;452;269;117;65;28;110;25;57;50;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;41;B;768;452;0;452;13;439;316;115;53;39;80;36;63;51;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;42;A;556;365;1;364;9;355;191;85;44;24;82;28;42;49;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;42;B;601;402;1;401;10;391;199;65;48;35;94;37;47;64;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;43;U;919;596;3;593;8;585;323;95;113;55;143;37;74;67;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;3;44;U;1034;683;4;679;11;668;351;138;78;58;149;42;104;97;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;1;A;555;321;0;321;8;313;234;56;47;32;52;19;24;82;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;1;B;604;335;0;335;6;329;269;75;36;41;52;28;35;61;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;1;C;625;368;5;363;3;360;257;70;44;37;62;27;40;80;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;2;A;762;454;3;451;0;451;308;75;58;32;89;21;55;121;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;2;B;677;389;5;384;3;381;288;53;43;39;98;15;42;90;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;3;A;621;331;3;328;4;324;290;50;41;22;78;23;33;77;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;3;B;733;428;2;426;5;421;305;67;54;29;114;20;35;102;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;4;A;553;334;2;332;6;326;219;61;37;16;85;11;48;68;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;4;B;536;349;4;345;11;334;187;54;34;21;101;13;37;73;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;5;U;860;516;1;515;5;510;344;88;52;48;92;9;85;136;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;6;A;656;387;2;385;8;377;269;52;34;53;80;12;42;103;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;6;B;622;364;1;363;12;351;258;45;32;43;64;24;44;99;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;7;A;618;392;7;385;9;376;226;75;47;49;76;37;55;37;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;7;B;730;451;0;451;7;444;279;105;46;50;97;36;40;68;2
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;8;A;534;299;2;297;5;292;235;58;44;18;52;10;34;76;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;8;B;551;332;0;332;6;326;219;68;52;22;54;14;42;74;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;9;U;587;325;0;325;3;322;262;30;30;30;85;9;32;106;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;10;U;962;532;3;529;4;525;430;95;53;64;105;33;56;118;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;11;U;834;517;2;515;4;511;317;132;92;77;80;38;49;42;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;12;U;992;523;1;522;8;514;469;102;60;47;101;21;72;108;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;13;A;493;338;0;338;3;335;155;87;78;34;52;28;16;40;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;13;B;626;404;2;402;8;394;222;96;83;42;89;25;25;33;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;14;A;566;358;1;357;6;351;208;65;63;32;81;49;28;33;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;14;B;577;330;0;330;6;324;247;65;60;45;52;23;26;53;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;14;C;601;353;3;350;7;343;248;63;59;32;75;31;42;38;3
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;15;A;725;451;1;450;9;441;274;82;58;50;86;28;55;81;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;15;B;828;509;5;504;11;493;319;73;78;58;112;32;52;84;4
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;16;A;547;306;4;302;6;296;241;67;49;38;54;17;20;51;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;16;B;538;323;0;323;3;320;215;51;45;34;77;25;31;57;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;17;U;952;553;6;547;3;544;399;96;76;62;79;32;79;119;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;18;U;868;505;8;497;5;492;363;95;53;57;93;38;46;106;4
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;19;A;696;417;1;416;1;415;279;51;52;37;101;29;46;99;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;19;B;772;473;3;470;5;465;299;65;51;43;104;42;55;105;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;20;A;605;336;3;333;10;323;269;60;36;29;65;24;45;64;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;20;B;621;366;1;365;12;353;255;44;47;37;74;24;49;78;0
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;21;A;477;241;0;241;5;236;236;24;32;25;42;17;38;57;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;21;B;539;306;0;306;8;298;233;36;40;39;58;9;44;71;1
ARABA-?LAVA;59;VITORIA-GASTEIZ;4;22;A;652;405;8;397;9;388;247;60;45;45;76;27;49;85;1
